GeneName	logFC	logCPM	F	PValue	FDR
Ifi27l2a	-1.09124745978706	9.90687715711405	18.4069190026367	2.49659153784871e-05	0.00402405163327796
Tax1bp1	0.938041679583585	9.7939233840209	18.2770627680933	2.66095725967166e-05	0.00421047178222213
Hif1a	1.1483922446538	9.55018679867366	35.3582396731111	2.67161915115617e-05	0.00421047178222213
Luc7l2	0.872789751057402	9.93636244840445	18.2032252854857	2.75925835886855e-05	0.00430080445738368
Prg2	-1.18774874928979	9.55418176104299	34.2390613954116	2.8758782396293e-05	0.00434649645767642
Areg	1.16349966500002	9.55659528593612	20.7100264508208	2.8919709019745e-05	0.00434649645767642
Pnisr	0.918850416595381	9.84450176323986	18.0813407229218	2.92963517692823e-05	0.00434649645767642
Vpreb3	-1.31820227509661	9.57131408967279	32.5324647146549	2.93985071936538e-05	0.00434649645767642
Shisa5	-0.667513084786596	10.7094732678909	18.0615672590556	2.95826284423174e-05	0.00434649645767642
Jak1	0.932211374819645	9.86207622320255	18.0518500543335	2.97243483075728e-05	0.00434649645767642
Thoc2	1.05314613741896	9.66107928225042	21.9956640232969	3.39344247947711e-05	0.00491148858458197
Cnot1	1.10254241644771	9.55997425225659	32.3253306392497	3.87746474641629e-05	0.00555534949122916
Cd83	-1.12878073614031	9.52723983422827	30.6509588019028	3.96204352453692e-05	0.00561976253520317
Pycard	-0.962516553120549	9.8740242125198	17.2168447259424	4.48665628173034e-05	0.00630086462376862
Itgae	0.952826674360951	9.85271343181399	17.1624492446085	4.60895909043005e-05	0.0063508584066928
Gm26917	-1.02851378772275	9.67432804706929	19.1181601895989	4.61180496255893e-05	0.0063508584066928
Chd1	1.00924451843158	9.66114101990278	20.6463642636877	4.76069082613355e-05	0.00649284987287291
Rps10	0.41273634225713	11.8038081503186	17.0376487175115	4.90247626977917e-05	0.00662254508671883
Hspa1b	-1.22157708489137	9.81048631328815	16.9877920887335	5.02496129435197e-05	0.00672396707538569
Chd2	0.92104902376156	9.78660187169971	16.8565472798028	5.36242449816366e-05	0.0071084700076592
Sfswap	1.07621158934789	9.52627628519144	39.6798450894235	5.76539065248228e-05	0.00757187972359339
Ascc3	1.04217000258649	9.54452476750864	35.1831209201118	6.21009635625063e-05	0.00793049181484865
Med19	-1.02953680597206	9.51034641048835	47.3344864497257	6.21703022251509e-05	0.00793049181484865
Mcm5	-0.819747281897094	9.49987156316599	28.6801340556501	6.26887017216628e-05	0.00793049181484865
Nufip2	1.09127434542167	9.57780325645739	28.9073203283179	6.31146522602378e-05	0.00793049181484865
Sec61a1	-1.09900274822513	9.63102723065555	23.0089201588306	6.36936684760257e-05	0.00793049181484865
Hspb1	-1.04763612117886	9.50840700746791	35.9409016082904	6.38365277063516e-05	0.00793049181484865
Dnajb9	-1.16875502674936	9.63814446525304	24.3253408837278	6.53292901123529e-05	0.00793049181484865
Man2a1	1.06798147158858	9.5397363222368	37.5932150554426	6.5769960552917e-05	0.00793049181484865
Wnk1	0.87973365295191	9.87057670153433	16.444532417102	6.57855571685362e-05	0.00793049181484865
Ly6e	-0.873933344398599	10.5019956452404	16.4324149553733	6.61827512710648e-05	0.00793049181484865
Ssr4	-1.05808807356798	10.3451292508337	16.4121481915787	6.68525054654833e-05	0.00793049181484865
Fam46c	-1.02701990808753	9.67088410328164	18.2869853218699	6.71660726845422e-05	0.00793049181484865
Gm2000	-0.876308485055876	9.93912520936697	16.3881946718985	6.76529547092983e-05	0.00793049181484865
Manf	-1.00420361903053	10.1535763182939	16.3474695374373	6.90362084986878e-05	0.00795532816052935
Ankrd44	0.916386039187145	9.74795232211384	17.3701786526526	6.91302952266185e-05	0.00795532816052935
Cst3	-1.00762296664379	10.0990975980271	16.332627348116	6.95474261072786e-05	0.00795532816052935
Kcnn4	-0.967572237648052	9.62684556501356	18.8228560423393	8.16008260170388e-05	0.00925940892980543
Il17a	0.720139766037153	9.47370334445228	53.3783618386785	8.28775189980708e-05	0.00932964071006854
Tmbim4	-1.10600938904901	9.58304618614707	27.3940997544765	8.55535504978473e-05	0.0095550516556021
Itga4	0.913651591125896	9.69070922718433	16.8838209974039	9.89474178789233e-05	0.0109646107437082
Suco	0.991823856640954	9.62391657883754	21.1241684348258	0.00010019317983984	0.0110165896344828
Elmsan1	1.05373407610938	9.53013112878356	34.3050846309742	0.000103974377540705	0.01134295709231
Rpl41	-0.299776786609836	13.0002175099085	15.5107308437604	0.000104760813528808	0.01134295709231
Tmed2	-0.845803667041408	9.98921267039796	15.4410579851028	0.000108474061415503	0.0116560309630113
Aak1	1.06418864333881	9.55603059160301	30.0626933548819	0.000111953092409756	0.011939418516842
Nme1	-0.847258908881226	9.90833184511001	15.3114887977006	0.000115738103700952	0.0122509646484649
Etv3	1.00663139665468	9.62094370922637	19.5677949568802	0.000125643661652145	0.0132009607175853
Mphosph9	0.786917558335188	9.48657988416333	36.2624253221619	0.000127027522503882	0.0132482233764343
Eml4	1.03946103059938	9.58085100986	24.5468942924431	0.000129128081405788	0.0133689978588299
Lta4h	-1.04410117786698	9.53761070155572	31.689688073375	0.000132152654387578	0.0135829945640102
Iqgap1	0.799114455447223	9.86769460439725	14.9110481477031	0.000141460536999743	0.0143030746296928
Snhg9	-0.997153246880129	9.50338564101737	45.2078425458344	0.000142150410147927	0.0143030746296928
Antxr2	-0.793408506115881	9.48147608580466	43.6405835581267	0.000142183694499907	0.0143030746296928
Bst2	-0.951188788378686	9.82815351573329	14.7316950544018	0.00015479313752193	0.0154032549964958
Tusc2	-0.925847386900229	9.49328619201595	52.648135470868	0.000155292263430548	0.0154032549964958
Bptf	0.956905641134692	9.66796965793305	16.7644528446031	0.000160327354809466	0.015710905228453
Sdc1	-1.14704251197505	9.64964153619013	20.5348421212996	0.000160609225756182	0.015710905228453
Edem2	-1.00818530252852	9.70653296015063	14.5813524023849	0.000166947229975034	0.0162190377394923
Trip11	0.949495026944105	9.64677306052067	18.0893084045702	0.000172688285208944	0.016598751696237
Hist1h1e	0.86877191049094	9.53689949992546	31.3807066027607	0.000173196224692828	0.016598751696237
Il7r	0.923871429898146	9.89692380976534	14.456592135328	0.000177765517973071	0.0168990785406495
Fam13b	0.910475331173045	9.50154065671579	46.4123840222116	0.000178712759524635	0.0168990785406495
Scaf11	0.983198111629956	9.63424646380222	19.6140311209521	0.000182279273299302	0.0170375993862443
Fubp1	0.847517029169994	9.77098269060865	14.3999421026048	0.00018290995420994	0.0170375993862443
Tram1	-0.864635512091418	9.74769032514246	14.37845112057	0.000184900853888487	0.0170375993862443
Susd6	0.965417939390824	9.62318359952674	20.2333619704059	0.000184982396043544	0.0170375993862443
Fyn	0.827219102536872	9.77590988986271	14.2527511382522	0.000196993970363478	0.0180268546815199
Fam208a	0.947844686861708	9.51282994013062	39.5776769193962	0.000198917760872285	0.018086214873157
Gmppb	-1.0522948367418	9.54519847846033	27.9228559481364	0.000201470211726156	0.0182016145421898
Cdk12	0.946843410343619	9.64497628287864	18.2961040253748	0.000204215041992444	0.018332823769752
Pkn2	0.948631061445738	9.66565059058577	18.5061861218143	0.000209735477224798	0.018661252924404
Ppp3r1	1.01094274794704	9.57602747359635	22.7188340717592	0.000210504827122436	0.018661252924404
Gpbp1l1	0.99977980080679	9.60106724314399	21.1968073761892	0.000211974659701115	0.0186748358583889
Stk4	0.896561844021229	9.64069612858535	16.9126974031553	0.000213298601635039	0.018675477565379
Arhgdia	-0.755433568502119	9.86246046632809	14.0123302040394	0.000222406899632	0.0193534936465048
Pik3cb	0.721189411446094	9.47547129751197	48.3849164557762	0.000226405949222014	0.0195249174802742
Kif1b	0.998048527985562	9.55422334275833	24.8583297513123	0.000227507611317376	0.0195249174802742
Usp50	-0.956590991772952	9.64233442089207	18.2790779723111	0.000228506507453857	0.0195249174802742
Mier1	0.794273782800554	9.86135492555306	13.9308000745813	0.000231760396278728	0.0195806403742118
Pim1	-1.00510599599931	10.2769623740144	13.9294414635976	0.000231919598340918	0.0195806403742118
Crebrf	0.974521425680618	9.60231671670576	19.5542292991342	0.000236646572596839	0.0197847860182901
Ncapd3	0.935754328450696	9.54764540368302	24.2124419214062	0.000237127299993607	0.0197847860182901
Tnfaip3	0.788283822077031	10.0890072649211	13.8726278816736	0.000238677328480958	0.0197976562992626
Spi1	-0.727217694651635	9.47526040050026	53.4859953772726	0.000242475743075114	0.0199756541019076
Zfp292	0.969659807174181	9.6133641954751	21.4213865137683	0.00024478077580819	0.0199756541019076
4932438A13Rik	0.97832099160015	9.55100553810192	27.5768426087453	0.000245048210217986	0.0199756541019076
Gm2a	-0.887597864862741	9.7108976312276	13.7885120858982	0.000249051389815976	0.0201859709322846
Itpkb	0.852969324572149	9.80354822355808	13.6673188596919	0.000264808663858294	0.0212831060706074
Ahnak	0.960799035061486	9.60215724043941	19.6738061579808	0.000265588675584991	0.0212831060706074
Ddx23	0.744086520100884	9.47887064372338	40.4271670915888	0.000271074689840249	0.0215382702833478
Sub1	-0.651061210841584	10.600832922555	13.6158018983168	0.000271809812515458	0.0215382702833478
Hist1h4i	-0.95906356896695	9.56468629496686	19.2529263758305	0.000276068600089704	0.0217542056870687
Tnks2	0.965659787798348	9.59482533199203	19.3004793999229	0.000277718919198396	0.0217633433696688
Prpf4b	0.828426494557434	9.77905880454623	13.5609429479574	0.000279471899463108	0.0217803814394765
Wbp5	-0.858051838699462	9.67201851424986	14.8269041574841	0.000287112933904518	0.0222536057623043
Sar1a	-0.995014738244128	9.63226427726585	18.5955096660272	0.000290117145274127	0.0223642477639577
Ppp3cb	0.956071635875117	9.55069837691726	26.8808709251217	0.000294722319580807	0.0224339238477728
Insl6	-1.01266880421415	9.54831138824643	26.3363729751667	0.000295861566713757	0.0224339238477728
Pou2af1	-0.980061222548048	9.56512693339786	20.3129695922692	0.000296161850332684	0.0224339238477728
Ube2b	-0.752406300397618	9.99321566215121	13.4386749878719	0.000297347552409848	0.0224339238477728
Mndal	0.777711944470945	9.94698358522722	13.4243960446372	0.000299509479031137	0.0224774732834796
Ost4	-0.78236536020777	10.089917217388	13.4026006542817	0.000302840258630831	0.0226078222548406
Eif3c	0.798181360232149	9.75460586810201	14.473146733857	0.000306333464400644	0.0227488683720352
Ptbp3	0.876617538554256	9.69474164779567	14.8040428264445	0.000320292689126299	0.0236616224092053
Gm12216	0.937093274004061	9.63922928845752	17.7260005989051	0.00033653572854251	0.0247327604852174
Rpn2	-0.86273230408609	9.67123490240978	14.4232656771491	0.000338316562586674	0.0247354748645844
Dusp2	-0.910147975142966	9.60864363732066	14.4958243837495	0.000343508323041643	0.024986266943706
Tnfrsf13b	-1.08932936180822	9.58186649576915	26.994973013711	0.000351122588404494	0.0254098101731089
